code,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,countries,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g
5902596026547,Czekoladki Karmello,,,,unknown,,,en:poland,,,,,,,
5901947667675,WPC 82,KFD,,"Suplementy diety, en:Bodybuilding supplements, Odżywki białkowe",not-applicable,4,,en:Poland,,,,,,,
5902768661217,Alegia Rental świnka morska 300g,,,,unknown,,,en:poland,,,,,,,
5900497280501,Mountain Dew,PepsiCo,,"Napoje, Napoje gazowane, en:Sodas, Napoje słodzone",e,4,,en:Poland,,,,,,,
20355548,,"Kania, Lidl",Lidl,"Dried products, Meals, Dried products to be rehydrated, Soups, Dried meals, Dehydrated soups",c,4,,"Polen, Germany",,,,,,,
5900580001624,,Provitus,,"Condiments, Sauces, Wasabi pastes, Groceries",c,4,,"Francja,Polska",,,,,,,
5900617031761,Cereal biscuits with cranberry,Sante,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik, en:Oatmeal cookies",c,4,,en:Poland,,,,,,,
5902020661405,,,,,unknown,,,en:Poland,,,,,,,
3560071267063,Céréales chocolat cœur aux noisettes,"Carrefour BIO, Carrefour","Carrefour,carrefour.fr","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Surgelés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées au chocolat-noisettes",d,4,,"France,Italie,Pologne,Espagne",,,,,,,
5907471404502,Kremówki dekorowane,,,,unknown,,,en:Poland,,,,,,,
5900562487415,,Go Vege,Biedronka,"Plant-based foods and beverages, Plant-based foods, Meat alternatives, Meat analogues, Meat analogues from soy or wheat proteins, Ham substitutes, Vegan ham",d,4,,Polska,,,,,,,
5902425080313,,,,,unknown,,,en:Poland,,,,,,,
5905784346861,filety śledziowe solone,"Carrefour,northlantica",Carrefour,,unknown,,,Pologne,,,,,,,
9941321840306,Algi,Möller’s,,Suplementy diety,not-applicable,,,Polska,,,,,,,
59086277,Ciasteczko z nutą śliwki,,,,unknown,,,en:poland,,,,,,,
59086260,Słony karmel z nutą gruszki,,,,unknown,,,en:poland,,,,,,,
5900562101793,Szynka Basiuni,Sokołów,Kaufland,"Produkty na bazie mięsa, Mięsa, Mięsa przetworzone, Szynka",d,4,,Polska,,,,,,,
5900446012535,Polaris soda mineralna,Polaris,,"Napoje, Woda, Woda źródlana, Woda mineralna",a,1,,en:Poland,,,,,,,
5060425287559,Cappuccino,Gü,,,unknown,,,en:Poland,,,,,,,
5900691031039,,,,"Produits laitiers,Laits (fluide et poudre),Laits",unknown,1,,Pologne,,,,,,,
5904730697002,Ciastka owsiane z pestkami dyni,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",d,3,,"Poland,United States",,,,,,,
5904730697033,Ciastka owsiane z żurawiną,,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,3,,Polska,,,,,,,
5904730697545,Ciastka owsiane z agrestem,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,3,,"Poland,United States",,,,,,,
5904730697163,Ciastka owsiane z czekoladą,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",d,4,,"Poland,United States",,,,,,,
5904730697118,Jaglane z żurawiną,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,4,,"Poland,United States",,,,,,,
5904730697538,Jaglane z czarną porzeczką,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,4,,"Poland,United States",,,,,,,
5904730697057,ŁANY z masłem orzechowym (Małpa),Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",d,3,,"Polska,Stany Zjednoczone",,,,,,,
5904730697484,Łany maślany dla dzieci (Sowa),Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",d,3,,"Poland,United States",,,,,,,
5904730697200,Łany gryczany bezcukrowy (Kameleon),Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",d,3,,"Poland,United States",,,,,,,
